               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.075921,            0.058408,            0.083852,             0.78328,            0.043054,            0.026152,            0.011818,            0.069355,            0.089668,            0.087536,           0.0099307,           0.0099307,           0.0099307
                  37,            0.078953,            0.063773,            0.084918,             0.30844,             0.05498,           0.0085968,           0.0033667,            0.085185,             0.12574,             0.10438,           0.0099287,           0.0099287,           0.0099287
                  38,            0.083124,            0.060663,            0.083805,           0.0042543,             0.22223,            0.036763,            0.014756,            0.070702,            0.094567,             0.08743,           0.0099267,           0.0099267,           0.0099267
                  39,            0.078595,            0.066733,            0.084668,             0.52395,            0.095546,            0.038046,            0.016888,            0.062996,            0.093484,            0.088944,           0.0099248,           0.0099248,           0.0099248
                  40,            0.073558,            0.061193,            0.081779,             0.63992,            0.076575,             0.02773,           0.0080878,            0.066072,            0.088039,             0.08829,           0.0099228,           0.0099228,           0.0099228
                  41,            0.073847,             0.06994,            0.084053,           0.0050626,            0.083328,            0.010258,           0.0040371,            0.082748,            0.098851,            0.092047,           0.0099208,           0.0099208,           0.0099208
                  42,             0.07681,            0.058421,            0.082162,             0.79918,            0.057456,            0.065308,            0.031201,            0.060757,            0.093283,            0.085568,           0.0099188,           0.0099188,           0.0099188
                  43,            0.073482,            0.062716,            0.080496,            0.049905,             0.21185,            0.021012,           0.0086024,            0.061854,            0.090475,             0.08641,           0.0099168,           0.0099168,           0.0099168
                  44,            0.076133,            0.059824,            0.085424,             0.75528,            0.045752,            0.054024,            0.022337,            0.068998,            0.084763,            0.085421,           0.0099149,           0.0099149,           0.0099149
                  45,            0.076944,            0.064941,            0.085024,           0.0071352,              0.0877,            0.013267,           0.0063131,            0.092718,            0.095904,              0.1012,           0.0099129,           0.0099129,           0.0099129
                  46,            0.073606,            0.058588,            0.082152,             0.82899,            0.031464,            0.051013,             0.02495,            0.074529,            0.098094,            0.091123,           0.0099109,           0.0099109,           0.0099109
                  47,            0.072513,            0.067975,            0.082156,             0.83591,            0.063722,            0.021231,           0.0094232,            0.067646,            0.083375,            0.091224,           0.0099089,           0.0099089,           0.0099089
                  48,            0.070495,            0.061601,            0.083062,            0.028618,             0.22764,            0.033123,            0.011877,            0.068328,            0.086477,            0.091176,           0.0099069,           0.0099069,           0.0099069
                  49,            0.070523,            0.062653,            0.081892,             0.95736,            0.019035,            0.040021,             0.01656,            0.055157,            0.088466,            0.084932,            0.009905,            0.009905,            0.009905
                  50,            0.072284,            0.063959,            0.080946,             0.97291,            0.012996,            0.042925,            0.012784,            0.066704,             0.08315,            0.084322,            0.009903,            0.009903,            0.009903
                  51,            0.072788,            0.066521,            0.079036,             0.94048,            0.011628,            0.027721,            0.013335,            0.061308,            0.086323,            0.084702,            0.009901,            0.009901,            0.009901
                  52,             0.07054,            0.061943,            0.078409,           0.0053742,            0.024981,           0.0096557,           0.0045674,            0.080775,             0.11822,             0.09067,            0.009899,            0.009899,            0.009899
                  53,             0.06981,            0.060256,            0.080093,             0.82373,            0.094786,            0.035624,            0.014986,            0.060777,            0.086322,            0.084421,            0.009897,            0.009897,            0.009897
                  54,            0.073023,            0.060295,            0.077712,             0.73211,             0.12538,            0.027303,            0.012553,            0.066508,            0.092107,            0.083889,           0.0098951,           0.0098951,           0.0098951
                  55,            0.075594,            0.064208,            0.080058,             0.87465,            0.036936,            0.063231,            0.027079,            0.057485,             0.08659,             0.08359,           0.0098931,           0.0098931,           0.0098931
                  56,            0.070517,            0.056239,            0.079487,             0.85995,            0.066526,              0.0424,            0.021638,            0.061276,             0.09191,            0.084285,           0.0098911,           0.0098911,           0.0098911
                  57,            0.068975,            0.059487,            0.079352,             0.87874,            0.037674,            0.058834,            0.024663,            0.056821,            0.083241,            0.082871,           0.0098891,           0.0098891,           0.0098891
                  58,            0.071145,            0.062434,            0.080843,             0.80141,            0.029922,            0.055974,            0.021175,            0.057916,            0.083098,            0.082439,           0.0098871,           0.0098871,           0.0098871
                  59,            0.069605,            0.061506,             0.07801,           0.0077129,             0.30797,            0.036898,            0.019411,            0.064716,             0.08564,            0.087704,           0.0098852,           0.0098852,           0.0098852
                  60,            0.070807,            0.055054,            0.081288,           0.0075213,              0.2894,            0.039648,             0.01676,            0.064622,            0.093438,            0.083573,           0.0098832,           0.0098832,           0.0098832
                  61,            0.069276,            0.058926,            0.078402,             0.84287,            0.049873,            0.035616,            0.017947,            0.059882,            0.082202,            0.086958,           0.0098812,           0.0098812,           0.0098812
                  62,             0.06729,            0.061205,            0.077844,             0.14681,             0.26247,            0.046132,            0.019036,            0.058879,            0.081926,            0.081434,           0.0098792,           0.0098792,           0.0098792
                  63,            0.066931,            0.058848,            0.073583,              0.7962,             0.10253,            0.077672,            0.036141,            0.057416,            0.080879,            0.082303,           0.0098772,           0.0098772,           0.0098772
                  64,            0.067896,             0.05832,            0.077695,             0.90258,             0.01721,            0.047289,            0.021087,            0.060714,            0.093574,            0.082005,           0.0098753,           0.0098753,           0.0098753
                  65,            0.070061,            0.058176,            0.078036,             0.82918,            0.086444,            0.071357,            0.027995,            0.062958,            0.075283,            0.081603,           0.0098733,           0.0098733,           0.0098733
                  66,            0.069852,            0.059097,             0.07358,             0.85236,            0.066836,             0.05543,             0.02196,            0.057977,            0.081289,            0.082243,           0.0098713,           0.0098713,           0.0098713
                  67,            0.065201,            0.062298,            0.076935,             0.83315,             0.10151,            0.073784,            0.038745,            0.054093,            0.076625,             0.08135,           0.0098693,           0.0098693,           0.0098693
                  68,            0.065361,            0.059313,            0.078794,             0.85729,            0.064172,            0.072483,            0.031058,            0.057214,            0.081025,             0.08145,           0.0098673,           0.0098673,           0.0098673
                  69,             0.06368,            0.057968,            0.076814,             0.83361,            0.096186,            0.087702,            0.048063,            0.051897,            0.079981,            0.080777,           0.0098654,           0.0098654,           0.0098654
                  70,            0.064569,            0.057214,               0.077,             0.80096,             0.12369,            0.072421,            0.027922,            0.055643,             0.08021,            0.080549,           0.0098634,           0.0098634,           0.0098634
                  71,            0.066511,            0.059242,            0.075613,             0.85818,            0.079897,             0.06782,            0.029609,            0.058363,            0.074644,            0.079739,           0.0098614,           0.0098614,           0.0098614
                  72,            0.066876,            0.056903,            0.075668,             0.83708,             0.12723,            0.068256,             0.03045,             0.05722,            0.072846,            0.079902,           0.0098594,           0.0098594,           0.0098594
                  73,            0.064768,            0.068844,            0.072389,             0.93406,            0.073187,             0.10448,            0.041441,            0.057318,            0.072266,            0.079882,           0.0098574,           0.0098574,           0.0098574
                  74,             0.06511,            0.060445,            0.075343,             0.84427,            0.089733,             0.13065,            0.055721,            0.055983,            0.075997,            0.079553,           0.0098555,           0.0098555,           0.0098555
